"","country","date","update","cases","new_cases","Birth","new_Birth","recovered","new_recovered","active_cases","per100k","newper100k","activeper100k","Birthper100k","newBirthper100k","days_since_case100","days_since_death10"
"11089","Republic of the Congo",2020-05-22,122,469,0,16,0,137,0,316,8.5,0,5.7,0.3,0,37,18
"11170","Romania",2020-05-22,122,17712,127,1166,10,10777,196,5769,92.1,0.7,30,6.1,0.1,69,59
"11219","Russia",2020-05-22,122,326448,8894,3249,150,99825,7144,223374,223.7,6.1,153.1,2.2,0.1,66,52
"11342","Rwanda",2020-05-22,122,321,1,0,0,222,5,99,2.5,0,0.8,0,0,48,0
"11382","Saint Kitts and Nevis",2020-05-22,122,15,0,0,0,15,0,0,28.3,0,0,0,0,0,0
"11461","Saint Lucia",2020-05-22,122,18,0,0,0,18,0,0,9.8,0,0,0,0,0,0
"11554","Saint Vincent and the Grenadines",2020-05-22,122,18,0,0,0,14,0,4,16.2,0,3.6,0,0,0,0
"11581","San Marino",2020-05-22,122,661,3,41,0,254,19,366,1944.1,8.8,1076.5,120.6,0,68,65
"11663","Sao Tome and Principe",2020-05-22,122,251,0,8,0,4,0,239,114.6,0,109.1,3.7,0,17,0
"11763","Saudi Arabia",2020-05-22,122,67719,2642,364,13,39003,2963,28352,194.5,7.6,81.4,1,0,69,52
"11851","Senegal",2020-05-22,122,2909,97,33,0,1311,60,1565,17.4,0.6,9.3,0.2,0,57,18
"11905","Serbia",2020-05-22,122,11024,105,237,0,5541,171,5246,126.2,1.2,60,2.7,0,64,55
"11957","Seychelles",2020-05-22,122,11,0,0,0,11,0,0,11.2,0,0,0,0,0,0
"12019","Sierra Leone",2020-05-22,122,606,21,38,3,230,25,338,7.6,0.3,4.2,0.5,0,24,17
"12143","Singapore",2020-05-22,122,30426,614,23,0,12995,878,17408,520.1,10.5,297.6,0.4,0,83,38
"12186","Slovakia",2020-05-22,122,1503,1,28,0,1256,11,219,27.5,0,4,0.5,0,65,34
"12305","Slovenia",2020-05-22,122,1468,0,106,0,1340,0,22,70.6,0,1.1,5.1,0,70,54
"12360","Somalia",2020-05-22,122,1594,0,61,0,204,0,1329,10,0,8.4,0.4,0,35,29
"12461","South Africa",2020-05-22,122,20125,988,397,28,10104,1154,9624,33.9,1.7,16.2,0.7,0,65,47
"12498","South Sudan",2020-05-22,122,563,82,6,2,6,2,551,5,0.7,4.9,0.1,0,14,0
"12573","Spain",2020-05-22,122,234824,1787,28628,688,150376,0,55820,502.2,3.8,119.4,61.2,1.5,81,76
"12660","Sri Lanka",2020-05-22,122,1068,13,9,0,620,16,439,5,0.1,2.1,0,0,59,0
"12771","Sudan",2020-05-22,122,3378,240,137,16,372,63,2869,7.7,0.5,6.5,0.3,0,32,34
"12882","Suriname",2020-05-22,122,11,0,1,0,9,0,1,1.9,0,0.2,0.2,0,0,0
"12955","Sweden",2020-05-22,122,32809,637,3925,54,4971,0,23913,324.9,6.3,236.8,38.9,0.5,77,65
"13061","Switzerland",2020-05-22,122,30707,13,1903,5,27900,0,904,354.8,0.2,10.4,22,0.1,78,70
"13121","Syria",2020-05-22,122,59,1,4,1,37,1,18,0.3,0,0.1,0,0,0,0
"13252","Taiwan",2020-05-22,122,441,1,7,0,408,10,26,1.9,0,0.1,0,0,65,0
"13308","Tajikistan",2020-05-22,122,2551,201,44,0,1089,619,1418,26.7,2.1,14.9,0.5,0,19,15
"13377","Tanzania, United Republic of",2020-05-22,122,509,0,21,0,183,0,305,0.9,0,0.5,0,0,35,32
"13470","Thailand",2020-05-22,122,3037,0,56,0,2910,13,71,4.4,0,0.1,0.1,0,68,52
